reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
AOV2M1INAA3B6,B00013BL18,Dolores Splane,"[0, 0]",I recently used two of the plug on a trip.  I used the one for Chile and Argentina and they both worked perfectly.  I would recommend this set.,5,Worked Great,1394668800,"03 13, 2014"
A3UCF82XIPJME2,B00013BL18,"Jones ""itimbuktu""","[1, 1]",They look cheap but work great. I took these on a trip to China and had no problems at all.,5,Inexpensive but work,1386374400,"12 7, 2013"
A2ZDY0V4Q1SZD7,B00013BL18,"Joseph R ""Joe""","[1, 1]","UPDATE:The person actually using these adapters (an 80 year old grandma) just reported from Bassano Italy that they worked just find and she charged her phone with no issues. So if a octogenarian can deal with something, that speaks volumes to the product!In her case, she was using an iPhone overseas, so any issues of power converters were moot. All she had to do was plug the US style plug into the adapter. Even so, it did work for her and she did it on her own. So that is a plus!**********************************These little adaptors look like they are well made and the price was right.i will add more when I get back!",5,"UPDATE: reviews from the field (was:I haven't gotten to Europe yet, but...)",1377302400,"08 24, 2013"
A387F7HBNQIY5J,B00013BL18,M. Afzal,"[0, 0]",Bought this for a trip to Europe (Netherlands) and it worked perfectly without any kinks. I am quite pleased with my purchase.,5,Worked as intended!,1355788800,"12 18, 2012"
A3QBHB039T7JC2,B00013BL18,mw,"[1, 1]","I was happy with this purchase. Just returned from a Europe trip where I used this to convert and charge my electronics (Iphone, Ipad 3) and was very impressed.I was concerned it might fry my Ipad 3, but I was assured by an Italian gentleman in an electronics store, that it would be just fine, and it was!So I recommend this.",5,Did the job just fine!,1350950400,"10 23, 2012"
A3GFK7F5IUF60X,B00013BL18,"Myra Schjelderup ""Ignolopi""","[0, 0]","I bought this set of adapters specifically for a trip to Europe. There are two different Europe plugs, I took them both, and they both worked everywhere I went.I used the adapters primarily in Denmark and Norway, they worked great and gave me no problems charging iPod, iPhone, iPad, camera batteries, etc.Note that there are numbers on the plugs, the numbers correspond to the cardboard insert to let you know where to use the plugs. It would be better if the plugs themselves had that information on them, but at least they have the numbers (which I didn't see at first so I put my own numbers on them).I will undoubtedly keep using the adapters on future trips, and I'll keep this updated.Update:Have also now used in Thailand, worked great.",5,"Worked for Europe - Norway, Denmark",1311811200,"07 28, 2011"
A1VLV72U8ZJ94M,B00013BL18,"uclalum ""uclalum""","[1, 1]","Works as it is supposed to, lightweight, compact, and very economical.  Covers nearly every plug Ive ever needed in Asian except for India.",5,GREAT!,1375228800,"07 31, 2013"
A32S7OE0MNWFI4,B000GJS3YK,"Csaba Szalontai ""csaba""","[2, 3]","i tried this headset with a samsung upstage and a nokia n75....before this headset only used two kind of motorolla headset.nokia is louder! and its stays in place so u can hillclimb... riding a bike.. joging, whatever... it will stay on your ears = wont come off! BUT!! IT IS uncomfortable! i had to change side every hours because the headset hurt my ears after a while.but... the line still breaking up all the time if im not using it in a car or a room or a hall... if i step out with this headset ( paired with whatever kind of phone) from a car or room, out to the street all the voice is gonna break up.. it is NOT the phones.. its the headset or the technology.. same thing= we wont be satisfied....so if u looking for something wich is comfy and good.. buy another nokia headset.. if u need a headset because u are a sportman.. then this is your headset!!!!!!",3,i had to return it and order another one.. a different one!!!,1189209600,"09 08, 2007"
A31YPEGZCM5E2,B000GJS3YK,Design Guy,"[3, 4]",This is the second blutooth earpiece I have ever owned. It never feels like its about to fall off my ear and it doesn't hurt to wear for several hours.The sound from and to it is very clear and no one on the other end has ever heard any echo or feed back. I use it with an LG Chocolate cellphone. I would buy it again or as a gift for others. The price is right for a great value.,5,Works perfectly and fits snugly.,1168473600,"01 11, 2007"
A3LRS70TXC512,B000GJS3YK,"E. Zweiger ""Hopalong60""","[4, 4]",Sounds very good on other end.Took a long time for earpiece to soften or maybe my ear confored to it.Buggy. Have to reset once in a while. 1st call sometimes dumps.Good noise control on transmit. Steady noise is eliminated but music and voices still cause interference. I use in 18 wheller. One of very few Bluetooth that can be used there. Very few. Thats why I put up with bugyness.,5,Good transmit audio,1176336000,"04 12, 2007"
A12EQ8T42T70GZ,B000GJS3YK,"Lynn B. ""Lynn""","[12, 15]","This is my 11th different bluetooth headset that I've tried over the past year and it's been been the best, by far, of the ones I've tried. Is it the best it could be....not by a long shot but it works and that goes a long way.I use it for business calls and have yet to be called on it. That within it self makes it a winner but the Gennum nxZen almost works that good. The difference is I can hear this one with relative ease as opposed to the nxZen. If you boost the microphone (on the nxZen)gain it decreases the in audio which is a issue. I prefer the ""in-the-ear"" type headset because I'm always using it in loud places like airports etc. The built in boom slides forward and provides excellent out audio for the receiver. I still, struggle at times, hearing the caller. The talk time, so far, is very good. I can wear it for several hours but at some point my ear does start hurting.I use this with my Treo 700w. It drops the pairing on a semi-regular basis. It was easy to pair to my original phone but I've not been able to pair it with any other thing.Overall, if you been waiting then wait no more. It's worth price.",5,The best on the market at this time.,1155513600,"08 14, 2006"
A3TN1NPD9656PE,B000GJS3YK,Sam Jones,"[0, 0]","I have had several headsets, and this one has lastest longer than any of them.  It holds a charge for a long time, whereas the other ones would die sooner.Good sound quality, comfortable fit.  Although the microphone extends as a boom, I never use it extended.  The quality and comfort are just fine without it extended.",4,"Durable headset, great quality",1233014400,"01 27, 2009"
A74BXMOJ90Q3I,B000GJS3YK,"scientist guy ""David""","[7, 9]","This is a very comfortable headset and was quite easy to set up with my Motorola phone.  The sound quality is as good as other headsets I've used, and people on the other end of a call have told me that my voice is clearer.  However, I'm VERY disappointed with how poor the battery life has been.  I get less than 1 hour of talk time and less than 48 hours of standby time.  I could go over a week with my old Nokia bluetooth headset.",2,terrible battery life,1155686400,"08 16, 2006"
AP60EZKVIHI1J,B000GJS3YK,Sheraz Hanif,"[2, 2]",Nice stylist product.  I am using it with my Treo 700P.  Crystal clear sound quality and different volument levels that suit me (use hearing aids).  Long lasting battery time.  I charge it on the weekends only.Cons: occasional loss of bluetooth communication between phone and headset.,5,Firm grip on ears,1174348800,"03 20, 2007"
A2E3MDC96N248V,B000GJS3YK,StephanieC,"[0, 0]","It's been a few years now since I had this bluetooth headset, but out of the MANY that I've used, this was by far my favorite.  I could listen to streaming music with it from my phone and it stayed on my ear really well.  This is the only headset I've had where people could actually hear me all the time.  The sliding boom mic made a big difference.The downfall of this model, as other reviewers have also written, is that the rubber tips that hold the headset on your ear break off with time.  I used superglue and prolonged the life of mine for a while, but it was annoying.",5,Best bluetooth I have owned!,1334966400,"04 21, 2012"
