reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A60O9YC0Z10O2,B00004SQM7,970,"[1, 1]","This must be more ideal for a handgun.  The locking bar did not fit behind the trigger on my AR-15, Remington 12 gauge, nor my Reuger .22.  The instructions state that the bar does not have to go behind the trigger, however, when I tried that, I could still manage to pull the whole thing and activate the trigger on the AR and shotgun.  The .22 was the only gun I had that this would absolutely stop the trigger from being moved.  I should have returned it, but I was lazy.",2,Didn't Fit,1307404800,"06 07, 2011"
A2R0CR7IJ0IG97,B00004SQM7,ahay,"[0, 0]","Came as a light blue color, not the grey as shown in the picture. Fits rather loose on my marlin .22 lr, and also clicks the trigger safety on and off. To big to fit on my glock .23 as it is a smaller gun to begin with, so i just use the cable lock it came with. Other than that i could see this as an excellent lock, but it's picky with the guns it fits.",3,has potential,1386288000,"12 6, 2013"
A26SN2CVQM4FKM,B00004SQM7,bayou bob,"[0, 0]",i ordered this and very happy...arrived on time and in good condition..instructions although written very small type it is unstandable..enjoy..will order again if necessary. tks,4,well made...,1403913600,"06 28, 2014"
ANXE2VV6AQ0GU,B00004SQM7,Chris,"[0, 0]","I wanted a trigger lock for my new Ruger GP-100 revolver. The one that Ruger supplies you with is a large padlock that fits through the cylinder, but you can't close a normal handgun case lid while it's on the revolver. Here in CA, strict gun laws prohibit us to drive with an unlocked firearm. Ruger provides a cheap, hard plastic, form-fitting case with the revolver. As I left the gun shop, there was no way I was going to be able to put this padlock on and keep it in it's case. I figured a trigger lock would be much more suitable for the gun as well as the longevity of the cylinder (not to mention a foam form-fitting case being a must-have). I don't want the off chance of something like the cylinder getting bent during transport. I prefer not to have the lid of any case pushed up against it.When reading other users reviews, I found very few people talking about what guns it did/didn't work on for them. C'mon people! Help some of us out! I looked all over for anyone even saying it worked on a revolver in general. I'm not 100% pleased with the lock, but I'll manage to make it work. I'm here to say that it fits OK on a Ruger GP-100, but it definitely doesn't fit on a Beretta PX4 Storm. On the GP-100, you have to have it at about a 35 degree angle, which the instructions say that's alright, but I'd rather it be at a horizontal position. The grip of the revolver is in the way, but like I said, you can angle it and make it fit. It's still tight and you can't wiggle it around. I have yet to try it on my shotgun, although I prefer my cable lock on something like that.All in all, it'll work for transporting my firearm to the range. Nothing more. It's not a lock to keep a thief away. It's simply so I can abide by the law and be legal about transporting my firearm. That's about all it's good for. If you're worried about child safety - get a safe.",3,Ruger GP-100 & Beretta PX4 Storm usage...,1384905600,"11 20, 2013"
A1MW0MPOBLCK71,B00004SQM7,EK,"[3, 3]","This fits my Sig P220 and Glock 30 perfectly. It's snug around the trigger guard preventing accidental access, what I was looking for.",4,Fits P220,1368144000,"05 10, 2013"
AQ6NXRIBGTF09,B00004SQM7,Joseph Lee,"[1, 1]",It does the job and the price is right. It's kind of wide so it wouldn't work inside a custom fitted case.,5,Quality lock.,1357171200,"01 03, 2013"
A370ZOS3HOG1JH,B00004SQM7,Nick,"[0, 0]","I've had one of these in use for nearly a dozen years and it is a solidly constructed, reliable locking device for use on the trigger guard of even a very large frame revolver. I always recommend putting firearms in a safe or locked gun cabinet (secured to a wall, floor, or both), but these kind of trigger locks added to unloaded firearms are an excellent backup, and keep unauthorized fingers away from triggers.Rim-fire guns, and a lot of vintage center-fire guns are best never dry-fired. Using a trigger lock can help prevent accidental damage by people who just don't know better. Of all of the different types of trigger and action locks I've employed, this one is the most ruggedly constructed and durable model I've owned.",4,As Good As This Sort of Lock Gets,1399161600,"05 04, 2014"
A2GPESJB64JUW2,B00004SQM7,RN,"[1, 1]",The lock is well built but it is too thick to fit in the Stack-On PDS-500 safe with Glock 19.  It's not the lock fault.,4,Good built.,1358640000,"01 20, 2013"
AFCIVNO3Q5Q75,B00004SQM7,sluefoot_sue,"[1, 1]","Requied in Calif for all firearm purchases and trasnportation. If you live in a &#34;Nanny State&#34;, this is the exact thing you'll need.Price was right.Would buy from this seller again. A+.",5,Guns protection,1391904000,"02 09, 2014"
A1FPZ2ZNV754F3,B00004SQM7,Spliskin,"[1, 1]","I bought this for a 1911, and it seems to fit perfectly, the grooves actually match the frame completely, pretty satisfied. For my ar-15, however, its a bit of a weird fit, but it still works",4,Optimized for 1911a1,1309132800,"06 27, 2011"
A1DTYIQC7S51S4,B00004SQM7,Steven,"[2, 3]",I give this product a 5 Star rating because it's of excellent quality. All handgun owners should be buying this product or one like it. I personally use this with a gun safe and hidden where even I have a hard time getting to it. When I'm in the Desert or up in the Mtns. is the only time I &#34;unlock and load&#34;. I'm a US Marine and know what I'm talking about. Be responsible and buy this product. I would highly recommend it.,5,Safety should be Priority # 1,1363046400,"03 12, 2013"
A2HLO10HRPI5KN,B00004SQM7,T. M.,"[1, 1]","Wow, for the price I was expecting total crap.I was really surprised by how heavy duty this thing is, and how well made the keys are. When this thing is on you're gonna have a pretty tough time getting it off if you don't have a key.One thing I'll note though (and this is not related to this product) but a design flaw with these is that if you attach one you're not 100% in the clear as it literally takes 1 minute to unscrew the trigger guard from most guns re-exposing the trigger. This is definitely the case for my Remington 700 as anyone who actually wants to shoot the gun but doesn't have the key can just unscrew the hinged floor plate assembly and reattach a new one without this thing on it. That's why I also got one of those long locks that goes through the action.",5,This thing is great.,1388880000,"01 05, 2014"
A25O9DNGIK1N6,B00004SQM7,William Tamraz,"[0, 0]",Just what I needed to feel confident with the grand kids running around the house poking their nose into everything.,5,Just what I needed to feel confident with the grand ...,1405036800,"07 11, 2014"
AAIOIGCCJRD01,B0000E1R4Z,Abdulrahman Alshareef,"[15, 15]","Great spare air, it always nice to have that extra peace of mind.it will last approx. for about 2 to 2.5 min at 50 feet dive.it would've been better if it comes with a Dial Pressure Gauge.",4,Two minutes of air at 50 feet,1250035200,"08 12, 2009"
A2MBYDJV2VGHMO,B0000E1R4Z,"Andover Diver ""Andover Diver""","[3, 4]","I bought this based on so many positive reviews, it is not as useful as I had thought, the attachment to my BCD was awkward.The filling was not very easy, I couldn't get a good seal and kept leaking out, I will keep trying to see if I can figure it out.The breather really do not work well on its own, it is very hard to draw. I find that I need to depress the top if I want to get air, in such case it is ok. I tried it for testing at 65', I guess it is helpful if you are really in a jam but it only gives you few breath, of course that could mean everything......",3,Nice concept but I think I will go for larger pony tank,1384041600,"11 10, 2013"
A1D1RLDLXRUGBS,B0000E1R4Z,brandonjlacy,"[2, 5]","To me, this seemed like a better solution than a larger pony tank/RBS. I like having less hoses so it appealed me.The only negative is that it is huge. I am 5'11&#34; 175lbs and this thing very awkward. Pretty much your only mounting option is on your BCD. The problem is, there are not many mounting options for something that large on the average BCD.I use the included straps to attach it to the cummerbund of the BCD so it is out of the way...ish. Anywhere else will be in your face or inaccessible.Small price to pay for something that could easily save your life though.",4,Works as intended,1371945600,"06 23, 2013"
AK51Y8U6JIA8Y,B0000E1R4Z,Expedition Outreach,"[1, 1]","I have been using Spare Air since it first came out: Even on deep dives where I have a pony bottle I still feel comfortable with my light weight spare air as an addition. For normal sport diving a spare air is all I need to get back to the surface safely though it is a good idea to train with it. Lately I have been using my Spare Air for a few unconventional ways , as a back up for crossing avalanche prone slopes along with other safety equipment of course, for white water kayaking & now my new sport Riverboarding, I just strap it to my waist or arm & its there if I get pinned in an eddy or under a strainer & need to wok out a self rescue. I use it skin diving all the time, my less than sporty version of free diving from a dive kayak anchored out to sea somewhere so I can enjoy the underwater environment longer than just one breath. Spare air is an amazing invention & I highly recommend it for all these sports!",5,A Life saver & Confidence Booster.,1392076800,"02 11, 2014"
A08324222HTYZDE4L3F8Z,B0000E1R4Z,mike 67,"[0, 1]",But look when the time comes where I do have to use it and it doesn't work. I will see you all in hell submersible systems. So I'm gonna give you the benefit of the doubt.,5,well I havent tried it yet....,1402876800,"06 16, 2014"
AVB81VQTASDQ4,B0000E1R4Z,Robert Owen,"[12, 13]",Call me paranoid but these things seemed like a good idea.  A self contained air supply good enough to get back to the surface.  Everything arrived as described and on time.  Quality appears high. I also purchased the optional screw in air gauge.  It's not very convenient to mount on my BC jacket (actually it's a pain to mount it where its accessible and yet not in the way).  It also loses air pressure over time so it has to be checked/refilled before every dive session (not every dive but I'd recommend checking it if you haven't for a couple of weeks).  It's also been handy for a quick shallow dive to inspect underwater hull damage.  Overall I'm pleased with my purchase.,3,Spare Air 3000,1321833600,"11 21, 2011"
A1M7VLUUTO1NRL,B0001NDYOK,Amazon Customer,"[0, 0]","Got this for my 7 year olds bike since it didn't come with one. The rubber tip fell off, I put it back on then it was lost. Works great otherwise. Definitely recommend WD 40 or something like that because it is too difficult for my daughter to move. Works great after that!",4,Rubber tip came off right away and is lost,1389830400,"01 16, 2014"
AFNG8O2DXRCUV,B0001NDYOK,Amazon Customer,"[11, 13]","I was looking for kick stands for 3 of the family bikes: 16"", 18"", and 26"". Our 18"" and 26"" bikes have hole or opening in the frame, while 14"" does not. The pictures of all three bikes are uploaded for you to see. So for the 16"" I'll look for a rear mount kick stand.The picture of the parts is also uploaded. There is one hex bolt which I used a 9/16 wrench. Once tightened, the supporting platform for the stand seems very solid on both the 18"" and 26"" bikes. A Philip screwdriver is used to adjust the height. There are 10 holes for adjustments. The 18"" bike can use either the 3rd or 4th hole from the bottom. The 26"" bike uses the top hole, which make it slightly less sturdy on the joint, but still good enough.The kick stand can be a bit tight for kids to kick aside and kick back down. I just used a little bit of WD-40 and that made it real smooth and easy!The price is quite good on this compared to others, and I highly recommend it for bikes under 24"". Even at 26"" inch where the adjustable stand is extended to maximum (and not as sturdy), I still would recommended it if you don't normally exert too much pressure on the stand.",5,Can really adjust for small to large bikes,1333929600,"04 09, 2012"
