id;cpath;opath
0;[483, 1061, 481, 238, 3416, 8462, 3415, 235, 3399, 5135, 1156, 2374, 1051, 709, 711, 7011, 5679, 5681, 8235, 7804, 809, 808];[483, 483, 1061, 1061, 481, 481, 238, 238, 235, 3399, 5135, 1156, 1156, 1051, 1051, 709, 711, 5681, 809, 808, 808, 808, 808]
1;[5377, 10376, 10383, 10378, 1953, 5463, 265, 5425, 5418, 5477, 5423, 5450, 5437, 5452, 5427, 6778, 6784, 6790, 6786, 9101, 9102, 5473, 5453, 5480, 10955, 4108, 10764, 4978, 4112, 2740, 6676, 6664, 4131];[5377, 5377, 1953, 5463, 265, 5425, 5437, 5427, 6778, 6786, 9102, 5453, 5480, 4108, 10764, 2740, 6664, 4131, 4131]
2;[7423, 240, 7914, 7912, 244, 8778, 8777, 7707, 7829, 8474, 1061, 481, 238, 3416, 8462, 3415, 235, 3399, 5135, 1156, 2374, 1051, 706, 8498, 5665, 1715, 1704, 1713, 7030, 5116, 704, 709, 711, 7011, 5680, 8470, 5678, 1729, 10442, 3453, 3451, 1478, 1480, 3446, 1487, 701, 3492, 7208, 7618, 1604, 1606, 1607, 699, 2492, 680, 7614, 7618, 1604, 1606, 1607, 699, 2492, 681, 7024, 7022, 1682, 1146, 1150, 9403, 218, 221, 224, 233, 234, 3414, 8461, 3418, 237, 483, 1060, 8473, 7828, 7706, 8776, 7423, 241, 5493, 6982, 6595, 6981, 5492, 243, 7422, 8777, 7707, 7829, 8474, 1061, 481, 238, 3416, 8462, 3415, 236, 232, 223, 222, 220, 9404, 1149, 1147, 7614, 7618, 1604, 1606, 1608, 1609, 2486, 2492, 681, 7024, 7022, 1681, 1145, 1142, 3586, 1044, 218, 221, 224, 233, 234, 3414, 8461, 3418, 237, 483, 1060];[7423, 240, 8777, 7707, 8474, 8474, 1061, 1061, 1061, 481, 238, 238, 3415, 3399, 5135, 5135, 1051, 706, 706, 709, 8470, 3453, 3451, 1480, 3446, 701, 3492, 7618, 1604, 1604, 1604, 1604, 1604, 1604, 6982, 6982, 1606, 2486, 2486, 2486, 7024, 7022, 1681, 1145, 1142, 1142, 3586, 1044, 1044, 218, 218, 218, 218, 218, 224, 233, 8461, 3418, 3418, 237, 237, 483, 483, 1060, 1060]
3;[2238, 5967, 5980, 5968, 396, 398, 386, 11052, 406, 1080, 4696, 2171, 4745, 10264, 10263, 10260, 5650, 10171, 10172, 5652, 7224, 7226, 7222, 7228, 9128, 2164, 2155, 976, 985, 8736, 862, 6995, 762, 9060, 7873, 8458, 8478, 7874, 758, 4769, 755, 3351, 940, 30, 29, 11058, 7809, 7807, 7681, 8244, 7709, 7686, 8752, 941, 1052, 3355, 7903, 5498, 753, 756, 760, 8477, 7871, 858, 9062, 860, 6991, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651, 5650, 10171, 10172, 5652, 7223, 1982, 1984, 8230, 981, 971, 7346, 8221, 8222, 849, 848, 844, 842, 7862, 7860, 7868, 836, 7783, 834, 9690, 929, 939, 928, 6740, 7463, 933, 939];[2238, 2238, 2238, 2238, 5967, 5967, 5967, 5968, 5968, 5968, 5968, 398, 406, 406, 4696, 8244, 8752, 8752, 8752, 5650, 5652, 1982, 1982, 8230, 8230, 981, 8222, 848, 848, 844, 842, 7868, 7868, 836, 836, 7783, 929, 929, 929, 939, 939, 939, 939]
4;[];[]
5;[8473, 7828, 7706, 8776, 7423, 241, 5493, 6982, 6594, 376, 377, 5815, 5814, 1032, 5816, 402, 11051, 403, 396, 397, 390, 16, 10052, 13, 4805, 4807, 2177, 2218, 2201, 2203, 2210, 2214, 2189, 5194, 2191, 4904, 2233, 2194, 2249, 4912, 2232, 6116];[8473, 7828, 241, 5493, 6982, 6982, 6982, 6982, 6982, 6982, 6982, 376, 376, 376, 5814, 5816, 390, 16, 10052, 4807, 2218, 2203, 5194, 4904, 4912, 6116]
6;[11052, 406, 1080, 4696, 2171, 4745, 10264, 10263, 10260, 5650, 10171, 10172, 5652, 7224, 7226, 7222, 7228, 9128, 2164, 2155, 976, 985, 8736, 862, 6995, 762, 9060, 7873, 8458, 8478, 7874, 758, 4770, 856, 838, 7783, 832, 7780, 6626, 934, 7773];[11052, 406, 406, 1080, 2171, 10263, 10260, 5650, 5652, 7222, 9128, 9128, 9128, 985, 985, 985, 985, 6995, 762, 9060, 9060, 9060, 8478, 7874, 7874, 856, 838, 838, 7783, 7783, 7780, 6626, 934, 7773, 7773, 7773]
7;[729, 766, 1678, 7749, 764, 7750, 6750, 6751, 7815, 6431, 828, 7950, 46, 7955, 7954, 6760, 7953, 10560, 7956, 47, 37, 41, 60, 10013, 868, 5674, 1708, 815, 3277, 5411, 865, 555, 2604, 10015, 10019, 2455];[729, 729, 766, 7749, 7749, 7750, 7750, 7750, 6751, 7815, 7815, 6431, 6760, 7953, 7956, 47, 41, 60, 868, 868, 868, 815, 3277, 865, 865, 2604, 2455, 2455, 2455, 2455, 2455, 2455, 2455, 2455]
8;[242, 5492, 243, 7422, 8777, 7707, 7829, 8473, 7828, 7706, 8775, 8779, 245, 7911, 774, 8457, 8623, 830, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 833, 7782, 837, 7867, 7865, 7863, 841, 946, 943, 942, 6991, 861, 8737, 10197, 6999, 7304, 9202, 10484, 10177, 10174, 10707, 2383, 10710, 892, 10182, 578, 10194, 10184, 1340, 10192, 897, 1332, 1320, 10187, 10190, 1314, 5594, 5576, 5560, 5558, 5553];[242, 242, 5492, 5492, 243, 7707, 8473, 8473, 8775, 245, 774, 8457, 830, 8243, 925, 925, 6412, 931, 939, 9691, 833, 7782, 7782, 837, 7863, 841, 946, 6991, 861, 10197, 9202, 10174, 10182, 10194, 10192, 1314, 5553, 5553]
9;[];[]
